Resampled version already cached
Resampled version already cached
         2617967 function calls (2562120 primitive calls) in 2.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10397    0.019    0.000    0.019    0.000 {built-in method __new__ of type object at 0x712560}
     1418    0.001    0.000    0.019    0.000 abc.py:84(__new__)
     1728    0.019    0.000    0.019    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.019    0.019 _fontconfig_pattern.py:1(<module>)
       16    0.000    0.000    0.019    0.001 six.py:85(_import_module)
       10    0.000    0.000    0.019    0.002 cparser.py:50(_get_parser)
        1    0.000    0.000    0.019    0.019 c_parser.py:19(__init__)
94472/94426    0.017    0.000    0.019    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.019    0.009 connection.py:1(<module>)
        1    0.000    0.000    0.019    0.019 config.py:85(__init__)
        1    0.000    0.000    0.019    0.019 config.py:88(reset)
        1    0.000    0.000    0.019    0.019 config.py:92(update)
       15    0.000    0.000    0.019    0.001 registry.py:38(target_context)
        1    0.000    0.000    0.019    0.019 registry.py:28(_toplevel_target_context)
        1    0.000    0.000    0.019    0.019 cpu.py:39(__init__)
        1    0.000    0.000    0.019    0.019 base.py:228(__init__)
        1    0.000    0.000    0.018    0.018 config.py:146(process_environ)
       13    0.000    0.000    0.018    0.001 _docstring.py:51(__missing__)
       76    0.000    0.000    0.018    0.000 config.py:147(_readenv)
      215    0.000    0.000    0.018    0.000 core.py:4349(__init__)
        1    0.000    0.000    0.018    0.018 config.py:328(avx_default)
        1    0.000    0.000    0.018    0.018 config.py:46(_os_supports_avx)
     3708    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:376(cached)
        1    0.000    0.000    0.018    0.018 _parallel_backends.py:1(<module>)
        6    0.000    0.000    0.018    0.003 __init__.py:2(<module>)
       97    0.000    0.000    0.018    0.000 core.py:5368(__init__)
        1    0.000    0.000    0.018    0.018 _sketches.py:1(<module>)
       50    0.000    0.000    0.017    0.000 core.py:5585(__init__)
       18    0.000    0.000    0.017    0.001 core.py:1076(parse_string)
      450    0.017    0.000    0.017    0.000 core.py:1711(set_whitespace_chars)
      388    0.010    0.000    0.017    0.000 doccer.py:180(indentcount_lines)
1637/1550    0.001    0.000    0.017    0.000 typing.py:255(inner)
        2    0.000    0.000    0.017    0.008 __init__.py:10(<module>)
      126    0.001    0.000    0.017    0.000 _distn_infrastructure.py:704(_construct_argparser)
       30    0.002    0.000    0.017    0.001 __init__.py:770(_rc_params_in_file)
      2/1    0.000    0.000    0.017    0.017 compiler_lock.py:32(_acquire_compile_lock)
        2    0.000    0.000    0.017    0.008 _spectral.py:1(<module>)
        1    0.000    0.000    0.017    0.017 cpu.py:46(init)
        1    0.000    0.000    0.017    0.017 pool.py:1(<module>)
      217    0.006    0.000    0.017    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.016    0.016 rules.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _minimize.py:1(<module>)
     1979    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
     1886    0.016    0.000    0.016    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.016    0.016 rules.py:15(_init_casting_rules)
       44    0.000    0.000    0.016    0.000 castgraph.py:119(insert_rule)
        1    0.000    0.000    0.016    0.016 _memmapping_reducer.py:1(<module>)
      684    0.001    0.000    0.016    0.000 __init__.py:2584(__init__)
        1    0.000    0.000    0.016    0.016 legend.py:1(<module>)
       44    0.003    0.000    0.016    0.000 castgraph.py:92(propagate)
        4    0.000    0.000    0.015    0.004 compat.py:1(<module>)
        1    0.000    0.000    0.015    0.015 art3d.py:5(<module>)
        3    0.000    0.000    0.015    0.005 common.py:2(<module>)
      466    0.015    0.000    0.015    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.015    0.015 _axes.py:46(Axes)
        1    0.000    0.000    0.015    0.015 soundfile.py:641(__init__)
      216    0.008    0.000    0.015    0.000 artist.py:1420(<listcomp>)
228970/223642    0.014    0.000    0.015    0.000 {built-in method builtins.len}
      774    0.001    0.000    0.015    0.000 __init__.py:1336(safe_version)
        3    0.000    0.000    0.015    0.005 common.py:8(pyparsing_common)
        4    0.000    0.000    0.015    0.004 six.py:117(_resolve)
       29    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      565    0.011    0.000    0.014    0.000 ffi.py:149(__call__)
      155    0.000    0.000    0.014    0.000 six.py:190(find_spec)
        1    0.000    0.000    0.014    0.014 _kernel_pca.py:1(<module>)
        4    0.000    0.000    0.014    0.004 six.py:215(is_package)
        1    0.000    0.000    0.014    0.014 six.py:120(__getattr__)
        2    0.000    0.000    0.014    0.007 serialize.py:1(<module>)
        1    0.000    0.000    0.013    0.013 minimize_trustregion_constr.py:1(<module>)
      126    0.000    0.000    0.013    0.000 _distn_infrastructure.py:690(_attach_argparser_methods)
        1    0.000    0.000    0.013    0.013 _discrete_distns.py:5(<module>)
        1    0.000    0.000    0.013    0.013 nrt.py:19(initialize)
      707    0.001    0.000    0.013    0.000 __init__.py:2784(_get_metadata)
      906    0.013    0.000    0.013    0.000 {built-in method posix.listdir}
        9    0.000    0.000    0.013    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.013    0.013 nrtdynmod.py:205(compile_nrt_functions)
      107    0.001    0.000    0.013    0.000 _distn_infrastructure.py:1958(_attach_methods)
        1    0.000    0.000    0.013    0.013 ssl_.py:1(<module>)
        1    0.000    0.000    0.013    0.013 colors.py:1(<module>)
     2258    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.013    0.013 geo.py:1(<module>)
        1    0.000    0.000    0.013    0.013 client.py:1(<module>)
        1    0.000    0.000    0.013    0.013 parfor_lowering.py:1(<module>)
        1    0.000    0.000    0.013    0.013 url.py:1(<module>)
        1    0.000    0.000    0.013    0.013 c_lexer.py:57(build)
        1    0.000    0.000    0.013    0.013 lex.py:863(lex)
        1    0.000    0.000    0.013    0.013 soundfile.py:1241(_open)
       19    0.000    0.000    0.013    0.001 _distn_infrastructure.py:3158(__init__)
        2    0.000    0.000    0.012    0.006 specifiers.py:5(<module>)
        1    0.000    0.000    0.012    0.012 dylib.py:1(<module>)
        1    0.000    0.000    0.012    0.012 offsetbox.py:1(<module>)
   114629    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
    15858    0.012    0.000    0.012    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.012    0.012 lex.py:211(readtab)
    29344    0.006    0.000    0.012    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.012    0.012 ffi.py:1(<module>)
        1    0.000    0.000    0.012    0.012 soundfile.py:1275(_init_virtual_io)
    21518    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        2    0.000    0.000    0.012    0.006 core.py:225(read_style_directory)
        1    0.000    0.000    0.012    0.012 _constraints.py:1(<module>)
   167621    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
     2183    0.009    0.000    0.012    0.000 inspect.py:2772(__init__)
        1    0.000    0.000    0.012    0.012 multiarray.py:1(<module>)
        3    0.000    0.000    0.011    0.004 __init__.py:339(__init__)
    80598    0.011    0.000    0.011    0.000 {built-in method builtins.min}
        3    0.011    0.004    0.011    0.004 {built-in method _ctypes.dlopen}
       28    0.000    0.000    0.011    0.000 __init__.py:847(rc_params_from_file)
        1    0.000    0.000    0.011    0.011 overrides.py:1(<module>)
   595/18    0.001    0.000    0.011    0.001 core.py:776(_parseNoCache)
   117/18    0.000    0.000    0.011    0.001 core.py:3861(parseImpl)
     9147    0.011    0.000    0.011    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.011    0.011 config.py:8(<module>)
       24    0.000    0.000    0.011    0.000 castgraph.py:131(unsafe)
        1    0.000    0.000    0.011    0.011 restdoc.py:13(<module>)
        1    0.000    0.000    0.011    0.011 extensions.py:6(<module>)
        1    0.000    0.000    0.011    0.011 parfor.py:6(<module>)
       26    0.000    0.000    0.011    0.000 dataclasses.py:1010(wrap)
       26    0.001    0.000    0.011    0.000 dataclasses.py:807(_process_class)
        1    0.000    0.000    0.010    0.010 decorate.py:1(<module>)
     1289    0.001    0.000    0.010    0.000 c_lexer.py:75(token)
        1    0.000    0.000    0.010    0.010 axis.py:1(<module>)
      965    0.001    0.000    0.010    0.000 __init__.py:628(__setitem__)
        1    0.000    0.000    0.010    0.010 soundfile.py:1043(write)
        1    0.000    0.000    0.010    0.010 soundfile.py:1399(_array_io)
        1    0.000    0.000    0.010    0.010 polar.py:1(<module>)
       90    0.000    0.000    0.010    0.000 __init__.py:2998(_reload_version)
     1289    0.004    0.000    0.010    0.000 lex.py:305(token)
     2450    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
5372/5364    0.001    0.000    0.010    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.010    0.005 util.py:337(find_library)
     3527    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       13    0.000    0.000    0.010    0.001 _axis_nan_policy.py:371(axis_nan_policy_decorator)
        1    0.000    0.000    0.010    0.010 lines.py:1(<module>)
       90    0.000    0.000    0.010    0.000 __init__.py:2789(_get_version)
        2    0.000    0.000    0.010    0.005 util.py:271(_findSoname_ldconfig)
       90    0.000    0.000    0.010    0.000 __init__.py:2567(_version_from_file)
      471    0.002    0.000    0.009    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.009    0.009 reusable_executor.py:6(<module>)
